customerid,bank_account_type,employment_status_clients,age,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,good_bad_flag,loan_approval_min,early_payments,late_payments,payment_status_score,repayment_behaviour_score
8a858f285d3ca5c4015d3cbb1f94073a,Current,Permanent,48,302000799,2,2017-07-28 15:19:09,2017-07-28 14:19:02,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858f225bfdb280015c108bf6f53281,Savings,Permanent,38,302002180,2,2017-07-29 13:21:25,2017-07-29 12:20:57,10000.0,13000.0,30,Good,60.47,0,1,-5.0,-500.0
8a858f7e564ad338015654d3a5c242a5,Other,Permanent,37,301969110,8,2017-07-08 11:23:48,2017-07-08 10:23:43,30000.0,34500.0,30,Good,60.08,7,0,35.0,500.0
8a858ea4582fcdc80158338316a258e3,Other,Permanent,46,301992692,10,2017-07-24 04:30:55,2017-07-24 03:30:47,30000.0,34500.0,30,Good,60.13,9,0,43.5,483.0
8a858f3c5c16cadb015c177e274650b9,Savings,Permanent,49,301984048,2,2017-07-18 15:01:08,2017-07-18 14:01:00,10000.0,13000.0,30,Good,60.13,1,0,5.0,500.0
8a858ec555f82a230155f92ff37d0b31,Other,Self-Employed,42,301977829,12,2017-07-14 15:05:09,2017-07-14 14:05:01,50000.0,52500.0,30,Good,60.13,10,1,44.0,400.0
8a858f255cb1710a015cb56393f60d1b,Savings,Permanent,52,301992796,2,2017-07-24 07:46:33,2017-07-24 06:46:25,10000.0,13000.0,30,Good,60.13,1,0,5.0,500.0
8a858f6f5b3f095b015b4083532532a0,Savings,Permanent,34,301990087,2,2017-07-21 22:03:47,2017-07-21 21:03:41,10000.0,13000.0,30,Good,60.1,1,0,5.0,500.0
8a858fa257d8223c0157e7e6ce253dd8,Other,Permanent,37,301993842,3,2017-07-24 17:05:34,2017-07-24 16:05:28,10000.0,13000.0,30,Good,60.1,0,2,-10.0,-500.0
8a858f335cd0c78e015cd435d7192800,Savings,Permanent,44,301984674,2,2017-07-18 21:32:19,2017-07-18 20:32:13,10000.0,11500.0,15,Good,60.1,1,0,5.0,500.0
8a858953548fb0c001549b31ac5f6dda,Other,Unemployed,40,301989107,13,2017-07-21 11:24:21,2017-07-21 10:24:14,10000.0,11000.0,30,Good,60.12,12,0,59.0,492.0
8a858eba5b681df4015b7b63e6ed6a23,Savings,Permanent,37,301991166,4,2017-07-22 19:14:11,2017-07-22 18:13:28,10000.0,11500.0,15,Good,60.72,2,1,5.0,167.0
8a858ee55cb156e6015cb650b14467f0,Savings,Student,30,301982196,2,2017-07-17 15:57:51,2017-07-17 14:57:43,10000.0,11500.0,15,Good,60.13,1,0,5.0,500.0
8a858f9157f7b9670157fa9d4e7546e0,Other,Permanent,51,301997594,2,2017-07-26 19:15:46,2017-07-26 18:14:34,10000.0,13000.0,30,Good,61.2,1,0,4.5,450.0
8a85883353d0c4e90153dfca251168bc,Other,Self-Employed,36,301992301,9,2017-07-23 19:04:53,2017-07-23 18:04:40,30000.0,34500.0,30,Bad,60.22,7,1,28.5,356.0
8a858fa55acd8061015ad15eb8b47940,Savings,Permanent,36,301959612,4,2017-07-02 05:04:06,2017-07-02 04:02:57,20000.0,24500.0,30,Good,61.15,3,0,14.5,483.0
8a8589a053acc39e0153b217f3d031cb,Other,Permanent,37,301968590,9,2017-07-07 21:19:01,2017-07-07 20:18:56,30000.0,33000.0,30,Good,60.08,8,0,40.0,500.0
8a858e2e5bb57a37015bbe3c1af53cac,Savings,Permanent,36,301960237,3,2017-07-02 19:15:39,2017-07-02 18:15:34,20000.0,24500.0,30,Good,60.08,2,0,10.0,500.0
8a8588c9548a33b201548b3cdb0f0c53,Savings,Permanent,36,301999434,2,2017-07-27 20:12:02,2017-07-27 19:10:50,10000.0,13000.0,30,Bad,61.2,0,1,-5.0,-500.0
8a858e345bd96da8015bdcde39b37570,Savings,unknown,42,301964230,3,2017-07-05 06:54:33,2017-07-05 05:54:28,10000.0,13000.0,30,Good,60.08,2,0,9.0,450.0
8a858e0f5c45466f015c4a6560255de7,Savings,Permanent,42,301992201,3,2017-07-23 17:43:34,2017-07-23 16:43:27,10000.0,13000.0,30,Good,60.12,2,0,10.0,500.0
8a858fe758dc437a0158e524adb32ae2,Savings,Permanent,35,301987024,11,2017-07-20 11:02:19,2017-07-20 07:46:12,40000.0,44000.0,30,Good,196.12,10,0,49.5,495.0
8a858e185b4923b4015b4ae48d28646a,Savings,Permanent,38,301996687,4,2017-07-26 10:53:05,2017-07-26 09:52:57,10000.0,11500.0,15,Good,60.13,2,1,5.0,167.0
8a858f725be8d4ff015bec5207ce5524,Savings,Permanent,40,302002456,3,2017-07-29 16:55:26,2017-07-29 15:55:18,10000.0,13000.0,30,Bad,60.13,2,0,9.0,450.0
8a858e2c5cc64f70015cc942825e71ae,Savings,Permanent,40,301983228,2,2017-07-18 08:31:33,2017-07-18 07:31:26,10000.0,13000.0,30,Good,60.12,1,0,5.0,500.0
8a858fba5cd5feee015cdb7d7d574f0f,Savings,Permanent,52,301994253,2,2017-07-24 21:03:20,2017-07-24 20:03:14,10000.0,13000.0,30,Good,60.1,1,0,5.0,500.0
8a858fd85b685607015b75c2390b7173,Savings,unknown,38,301997897,5,2017-07-26 22:24:15,2017-07-26 21:23:05,20000.0,24500.0,30,Good,61.17,3,1,9.5,238.0
8a858fe8555f401f0155679de3f04eb4,Other,Permanent,38,301972411,4,2017-07-11 05:53:18,2017-07-11 04:52:12,10000.0,13000.0,30,Good,61.1,2,1,5.0,167.0
8a8589b953bc23f70153c887b4b45c9a,Other,Permanent,32,302000392,13,2017-07-28 11:57:04,2017-07-28 10:56:57,40000.0,48000.0,60,Good,60.12,10,2,39.0,325.0
8a858e935b496584015b496cdac50369,Savings,Permanent,35,301981004,5,2017-07-16 23:20:04,2017-07-16 22:18:52,10000.0,11500.0,15,Bad,61.2,1,3,-10.0,-250.0
8a858e1d5b2510b2015b2c76fe45726a,Savings,unknown,59,301978662,2,2017-07-15 06:33:49,2017-07-15 05:33:41,10000.0,13000.0,30,Good,60.13,1,0,5.0,500.0
8a76e7d443e6e97c0143ed0a1f4d5331,Other,Permanent,47,301975908,6,2017-07-13 11:45:07,2017-07-13 10:45:00,10000.0,11500.0,30,Good,60.12,4,0,19.5,390.0
8a8588bd5369b66d01536e7b60501609,Other,Permanent,46,301967127,3,2017-07-06 21:02:56,2017-07-06 20:02:51,10000.0,13000.0,30,Good,60.08,2,0,10.0,500.0
8a858f985b3db23f015b3ddf9cd73ed5,Savings,Permanent,42,301959500,4,2017-07-01 22:40:21,2017-07-01 21:40:14,20000.0,24500.0,30,Good,60.12,3,0,14.5,483.0
8a858eae5c356262015c35894b181c1b,Savings,Permanent,40,301977486,2,2017-07-14 12:16:44,2017-07-14 11:16:30,10000.0,13000.0,30,Good,60.23,1,0,5.0,500.0
8a858e6d5b252065015b2fa1ee3843da,Savings,unknown,40,301970058,4,2017-07-09 10:26:22,2017-07-09 09:26:17,20000.0,24500.0,30,Bad,60.08,3,0,15.0,500.0
8a858f6e5a951fc2015a9e8c2e4f4436,Savings,Permanent,50,301962498,5,2017-07-04 06:21:27,2017-07-04 05:20:22,20000.0,24500.0,30,Good,61.08,4,0,19.5,488.0
8a858e2d5bc95851015bc98eb8fc1575,Savings,unknown,39,301962824,4,2017-07-04 10:13:35,2017-07-04 09:13:29,10000.0,13000.0,30,Bad,60.1,1,2,-5.0,-167.0
8a858f6057e2dba50157f3558ac902d4,Other,Student,39,301988324,5,2017-07-20 21:02:25,2017-07-20 20:02:17,10000.0,13000.0,30,Good,60.13,2,2,-0.5,-12.0
8a858e885c63d379015c730aa5f46f8b,Savings,Permanent,41,301959281,2,2017-07-01 18:31:18,2017-07-01 17:31:11,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858fd35b5dfefb015b5e18a7ee15aa,Savings,Permanent,38,301988605,6,2017-07-21 02:37:12,2017-07-21 01:36:50,20000.0,24500.0,30,Good,60.37,5,0,25.0,500.0
8a858eea5c82f136015c82f59f3201c7,Savings,unknown,35,301966918,2,2017-07-06 18:16:52,2017-07-06 17:16:36,10000.0,11500.0,15,Bad,60.27,0,1,-5.0,-500.0
8a858f7e5c69a6e3015c74334d791005,Savings,Permanent,38,301986459,2,2017-07-19 21:10:13,2017-07-19 20:10:06,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858e6a5bfd4b54015c067c589f44c6,Savings,unknown,52,301995422,4,2017-07-25 14:51:36,2017-07-25 13:51:29,20000.0,24500.0,30,Good,60.12,3,0,14.5,483.0
8a858fa257d8223c0157e3c2a5e45d82,Other,Permanent,34,301973424,6,2017-07-11 17:07:53,2017-07-11 16:07:48,20000.0,22250.0,15,Good,60.08,3,2,4.5,90.0
8a8588dc536a1413015375acd19d4154,Savings,Permanent,35,301966948,3,2017-07-06 18:32:18,2017-07-06 17:32:12,10000.0,13000.0,30,Bad,60.1,2,0,9.5,475.0
8a858e225c404292015c4f19fdfb148a,Savings,Permanent,42,301965605,3,2017-07-05 21:33:23,2017-07-05 20:33:18,10000.0,13000.0,30,Good,60.08,2,0,9.5,475.0
8a858e865bd4175e015bd85ed8ed6940,Savings,Permanent,33,301963117,3,2017-07-04 12:49:34,2017-07-04 11:49:27,10000.0,13000.0,30,Good,60.12,2,0,9.5,475.0
8a858f73594ab1ea01595e72de584bca,Savings,Permanent,39,301988141,7,2017-07-20 18:53:35,2017-07-20 17:53:23,15000.0,18375.0,30,Good,60.2,5,1,19.5,325.0
8a858ff5562dc3b601562e96135108e3,Other,Self-Employed,30,301974034,10,2017-07-12 06:39:01,2017-07-12 05:38:55,15000.0,16125.0,15,Good,60.1,6,3,14.0,156.0
8a858fdc57b91cfc0157d2d576b01016,Savings,Student,33,301983810,3,2017-07-18 13:07:20,2017-07-18 12:07:12,30000.0,39000.0,60,Bad,60.13,1,0,4.5,225.0
8a858ef45cd09b8c015cd4d82f22728d,Savings,Permanent,30,301998168,2,2017-07-27 06:39:58,2017-07-27 05:39:50,10000.0,13000.0,30,Good,60.13,0,1,-5.0,-500.0
8a858f725b49c0c0015b4de5320b0e90,Savings,Unemployed,40,301995663,2,2017-07-25 17:22:09,2017-07-25 16:20:58,10000.0,13000.0,30,Bad,61.18,1,0,5.0,500.0
8a858e205af28299015af2acd2ff06a6,Current,Permanent,38,301989020,3,2017-07-21 10:38:57,2017-07-21 09:38:41,10000.0,11500.0,15,Good,60.27,2,0,10.0,500.0
8a858ed457a040d30157b40881a25091,Other,Permanent,33,301962790,8,2017-07-04 09:55:59,2017-07-04 08:55:52,30000.0,34500.0,30,Good,60.12,7,0,34.0,486.00000000000006
8a858f2a5b3f2121015b42331f955db2,Savings,Permanent,34,301972975,2,2017-07-11 12:55:21,2017-07-11 11:55:16,10000.0,11500.0,15,Good,60.08,1,0,5.0,500.0
8a858e285ba4bf33015ba50277171d93,Current,Permanent,39,301977500,5,2017-07-14 12:22:54,2017-07-14 11:22:48,20000.0,24500.0,30,Good,60.1,4,0,20.0,500.0
8a858e225c404292015c4bc05b45616d,Savings,Permanent,46,301995444,3,2017-07-25 15:06:03,2017-07-25 14:05:55,10000.0,13000.0,30,Good,60.13,2,0,10.0,500.0
8a858ee755a0c84a0155b50a08352311,Other,Permanent,47,301964845,10,2017-07-05 13:22:39,2017-07-05 12:22:26,20000.0,23000.0,30,Good,60.22,4,5,-5.0,-56.00000000000001
8a8588f754a058cb0154b922d7fe1ffd,Other,Permanent,42,301977664,11,2017-07-14 13:44:33,2017-07-14 12:44:25,40000.0,48000.0,60,Bad,60.13,5,5,-2.0,-20.0
8a858f305c8dd672015c92b0711a3333,Savings,Permanent,36,301978946,2,2017-07-15 10:42:38,2017-07-15 09:42:24,10000.0,11500.0,15,Good,60.23,1,0,5.0,500.0
8a858f7e5c886ca9015c89471cef5b44,Savings,Permanent,36,301970934,2,2017-07-10 08:10:13,2017-07-10 07:10:08,10000.0,13000.0,30,Good,60.08,1,0,4.5,450.0
8a858f5d5963fbb701597473936c208a,Savings,Permanent,40,301972160,6,2017-07-10 21:13:58,2017-07-10 20:12:52,20000.0,24500.0,30,Good,61.1,5,0,25.0,500.0
8a858fd85b685607015b70cf46b509b2,Savings,Permanent,49,302000027,5,2017-07-28 08:28:08,2017-07-28 07:26:57,20000.0,24500.0,30,Good,61.18,4,0,20.0,500.0
8a858fa154e2912f01551033886c784b,Savings,Permanent,36,301986934,5,2017-07-20 08:01:05,2017-07-20 07:00:58,10000.0,11500.0,15,Good,60.12,4,0,20.0,500.0
8a858e5357d823010157ddcb238e0d02,Other,Permanent,35,301972423,4,2017-07-11 06:16:21,2017-07-11 05:16:15,10000.0,13000.0,30,Bad,60.1,1,2,-5.0,-167.0
8a8588fd53f1099e01540ec7527b308c,Savings,Permanent,45,301996180,15,2017-07-26 01:45:33,2017-07-26 00:44:19,40000.0,44000.0,30,Bad,61.23,13,1,58.5,418.0
8a858eba5c884d2a015c8bea59385157,Savings,Permanent,42,301965167,3,2017-07-05 16:38:39,2017-07-05 15:38:34,20000.0,24500.0,30,Good,60.08,2,0,10.0,500.0
8a858f11594a388001595ad3f6c06395,Savings,unknown,32,301961303,7,2017-07-03 16:01:47,2017-07-03 15:01:43,10000.0,11500.0,30,Good,60.07,6,0,28.0,467.0
8a8588dd54a3ead30154ada314c44e09,Other,Permanent,45,301994878,7,2017-07-25 09:33:43,2017-07-25 08:33:35,30000.0,39000.0,60,Good,60.13,6,0,28.5,475.0
8a85886f54517ee0015470749d3c3ce7,Other,Self-Employed,40,301979680,22,2017-07-15 20:48:14,2017-07-15 19:48:08,50000.0,52500.0,30,Good,60.1,15,6,44.5,212.0
8a858e5856b7840c0156c2db475368e4,Other,Student,31,301995624,5,2017-07-25 17:01:26,2017-07-25 16:01:19,10000.0,12250.0,30,Good,60.12,3,1,10.0,250.0
8a858eda552adcc2015553a6385628e7,Savings,Permanent,38,301964307,5,2017-07-05 08:01:14,2017-07-05 07:01:07,10000.0,13000.0,30,Good,60.12,3,1,10.0,250.0
8a858e885c63d379015c682355b72343,Savings,Permanent,44,301959492,2,2017-07-01 22:31:57,2017-07-01 21:31:51,10000.0,13000.0,30,Good,60.1,1,0,5.0,500.0
8a858f955cc6631f015ccabe708129ed,Savings,unknown,33,301967059,2,2017-07-06 20:12:28,2017-07-06 19:12:23,10000.0,13000.0,30,Bad,60.08,1,0,5.0,500.0
8a858eda5c8863ff015c911534db43b8,Savings,Permanent,40,301981584,2,2017-07-17 10:59:02,2017-07-17 09:58:55,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858e0256b781d80156d77deb7222b8,Other,Self-Employed,58,301992928,7,2017-07-24 09:22:08,2017-07-24 08:22:01,30000.0,34500.0,30,Good,60.12,6,0,29.5,492.0
8a858fd45a4260bc015a469e3c74060a,Savings,Permanent,31,301959541,2,2017-07-01 23:33:16,2017-07-01 22:32:09,10000.0,13000.0,30,Bad,61.12,0,1,-5.0,-500.0
8a8589b953bc23f70153c871f9e25781,Savings,Permanent,40,301992985,6,2017-07-24 09:59:26,2017-07-24 08:59:20,30000.0,34500.0,30,Good,60.1,3,2,5.0,100.0
8a8589b953bc23f70153c79a4b241b3d,Other,Permanent,38,301993987,17,2017-07-24 18:24:23,2017-07-24 17:24:15,40000.0,44000.0,30,Bad,60.13,16,0,76.0,475.0
8a858f035ab947e3015abdb1094c6d45,Savings,Permanent,34,301992753,7,2017-07-24 07:07:23,2017-07-24 06:07:16,10000.0,10750.0,15,Good,60.12,4,2,10.0,167.0
8a858f1f586c8fc801586cc4516e1b5c,Savings,Permanent,43,301993882,3,2017-07-24 17:26:30,2017-07-24 16:26:13,10000.0,13000.0,30,Good,60.28,0,2,-10.0,-500.0
8a858fe758dc437a0158eb12515362d4,Savings,unknown,39,301988346,5,2017-07-20 21:17:57,2017-07-20 20:17:52,20000.0,24500.0,30,Good,60.08,4,0,20.0,500.0
8a858e425d5c1d76015d5fd6a1004453,Savings,unknown,45,302003687,2,2017-07-30 16:56:35,2017-07-30 15:56:28,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858f74584a54aa015854d6e7027ac1,Other,Permanent,45,301983119,8,2017-07-18 07:15:26,2017-07-18 06:15:19,10000.0,13000.0,30,Good,60.12,2,5,-16.0,-229.0
8a8589f853f100fb015409cd02170e67,Savings,Permanent,49,301967896,6,2017-07-07 12:26:14,2017-07-07 11:26:02,20000.0,24500.0,30,Good,60.2,5,0,25.0,500.0
8a858f5d5963fbb701596945e671298c,Savings,Permanent,37,301998600,11,2017-07-27 11:39:20,2017-07-27 10:39:13,40000.0,44000.0,30,Good,60.12,10,0,49.0,490.00000000000006
8a858fee5863a049015864ec37223d8b,Savings,Permanent,33,301998742,4,2017-07-27 13:01:33,2017-07-27 12:01:27,10000.0,11500.0,15,Bad,60.1,2,1,4.0,133.0
8a8589b953bc23f70153ccc3fd3519c7,Savings,Permanent,48,301993240,5,2017-07-24 12:05:59,2017-07-24 11:05:52,10000.0,10750.0,15,Good,60.12,2,0,10.0,250.0
8a858fcf558237b401558b07734101d6,Other,Self-Employed,35,301995887,10,2017-07-25 20:14:09,2017-07-25 19:14:02,20000.0,21000.0,15,Good,60.12,9,0,44.5,494.00000000000006
8a858f98560bbe110156217f2b324081,Other,Student,32,301985800,2,2017-07-19 14:29:39,2017-07-19 13:28:24,10000.0,13000.0,30,Good,61.25,0,1,-5.0,-500.0
8a858f1b5b256bc9015b2f5280ff57dd,Savings,Permanent,37,301958704,3,2017-07-01 09:12:30,2017-07-01 08:12:24,10000.0,11500.0,15,Good,60.1,2,0,10.0,500.0
8a858f9f5bd99987015be35f3b5730fe,Savings,unknown,42,301979105,3,2017-07-15 12:50:55,2017-07-15 11:50:48,10000.0,13000.0,30,Bad,60.12,1,1,0.0,0.0
8a858ed55c63db54015c705c10a864c9,Savings,Permanent,46,301988283,2,2017-07-20 20:36:23,2017-07-20 19:36:15,10000.0,13000.0,30,Bad,60.13,0,1,-5.0,-500.0
8a858e595b42b641015b42bed45707ec,Savings,Permanent,37,301969772,5,2017-07-08 22:57:42,2017-07-08 21:57:31,20000.0,24500.0,30,Good,60.18,4,0,18.5,462.0
8a858f0c57d3fe8e0157dcd14f854fb7,Savings,Permanent,40,301998723,3,2017-07-27 12:46:25,2017-07-27 11:46:19,10000.0,13000.0,30,Bad,60.1,0,2,-10.0,-500.0
8a858e36590808e301592ae6ca1a0f3b,Savings,Permanent,44,302000787,8,2017-07-28 15:14:33,2017-07-28 14:14:28,30000.0,34500.0,30,Good,60.08,7,0,33.5,479.0
8a85890754145ace015429211b513e16,Savings,Permanent,48,301999343,3,2017-07-27 19:00:41,2017-07-27 18:00:35,10000.0,11500.0,15,Good,60.1,0,2,-10.0,-500.0
8a858eaf570f3a0a01571e1288e00047,Other,Permanent,41,301959364,8,2017-07-01 20:50:43,2017-07-01 19:50:36,30000.0,39000.0,60,Good,60.12,6,1,24.0,343.0
8a858f505c7e3a50015c81f70ee35ff5,Savings,Permanent,33,301983420,3,2017-07-18 10:09:26,2017-07-18 09:09:19,10000.0,13000.0,30,Good,60.12,2,0,10.0,500.0
8a858e3c5cac9fcc015cb09fdd925a5a,Savings,Permanent,33,301989470,2,2017-07-21 14:59:25,2017-07-21 13:59:18,10000.0,13000.0,30,Bad,60.12,1,0,4.5,450.0
8a858e51584a1fc70158595f611e49e6,Savings,unknown,51,301979433,8,2017-07-15 17:16:55,2017-07-15 16:15:49,30000.0,39000.0,60,Good,61.1,7,0,34.0,486.00000000000006
8a858e6a5bfd4b54015c0297d9ee75fb,Savings,Permanent,45,301988073,3,2017-07-20 18:10:30,2017-07-20 17:10:21,10000.0,13000.0,30,Bad,60.15,0,2,-10.0,-500.0
8a858e035693e02901569984732a33ea,Savings,Permanent,41,301978913,12,2017-07-15 10:17:42,2017-07-15 09:16:28,40000.0,44000.0,30,Bad,61.23,10,1,44.0,400.0
8a858e105bd92644015be762bf10576f,Savings,Permanent,34,301971610,3,2017-07-10 14:58:47,2017-07-10 13:58:41,10000.0,13000.0,30,Bad,60.1,2,0,9.0,450.0
8a8589045384bd8301539e05b3d35023,Savings,Self-Employed,39,301996750,11,2017-07-26 11:22:31,2017-07-26 10:22:23,50000.0,52500.0,30,Good,60.13,8,2,28.5,285.0
8a858e285aa8cfc1015aa8fd90951f5a,Current,Permanent,48,301998546,4,2017-07-27 11:01:51,2017-07-27 10:01:45,20000.0,24500.0,30,Good,60.1,3,0,15.0,500.0
8a858ebb5a18039b015a183953ea16cc,Savings,Permanent,39,301971362,10,2017-07-10 12:40:16,2017-07-10 11:40:10,40000.0,44000.0,30,Good,60.1,9,0,44.0,488.99999999999994
8a858e6f5668e01701567479d1ae3320,Other,Permanent,36,301968696,17,2017-07-07 23:28:50,2017-07-07 22:27:37,40000.0,44000.0,30,Good,61.22,15,1,69.5,434.0
8a858e2159f3c9030159f4336f1925f4,Savings,Permanent,45,301966113,9,2017-07-06 09:53:35,2017-07-06 08:53:30,20000.0,24500.0,30,Bad,60.08,7,1,29.5,369.0
8a858e135cb22031015cb7f9700e06f8,Savings,unknown,42,302001909,3,2017-07-29 09:51:05,2017-07-29 08:50:56,10000.0,12500.0,30,Good,60.15,2,0,10.0,500.0
8a858f54589736f401589857085e3b5b,Savings,Student,33,301981912,9,2017-07-17 13:40:41,2017-07-17 12:39:28,40000.0,44000.0,30,Good,61.22,8,0,39.5,494.00000000000006
8a858e475c127bce015c1a358a222097,Savings,unknown,37,301977239,3,2017-07-14 10:11:47,2017-07-14 09:11:40,10000.0,13000.0,30,Bad,60.12,0,2,-10.0,-500.0
8a858fcb5ca240f7015ca6656e972612,Savings,unknown,41,301978768,2,2017-07-15 08:10:57,2017-07-15 07:10:50,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858fe45cd62cbf015ce93a8a26355d,Savings,Permanent,40,301996498,2,2017-07-26 09:18:34,2017-07-26 08:18:26,10000.0,11500.0,15,Good,60.13,1,0,5.0,500.0
8a858e885b68546c015b736088184034,Savings,Permanent,37,301973050,3,2017-07-11 13:40:48,2017-07-11 12:40:43,10000.0,13000.0,30,Good,60.08,1,1,-0.5,-25.0
8a858f935ca09667015ca0ee3bc63f51,Savings,Permanent,35,301977679,2,2017-07-14 13:50:27,2017-07-14 12:50:21,10000.0,13000.0,30,Bad,60.1,1,0,4.5,450.0
8a858e495cef1ef1015cf16757660080,Savings,Permanent,39,301977913,2,2017-07-14 15:54:57,2017-07-14 14:54:50,10000.0,11500.0,15,Good,60.12,1,0,5.0,500.0
8a858ea35a5b46ec015a5d1596805e48,Savings,Permanent,37,301967845,6,2017-07-07 11:59:12,2017-07-07 10:59:07,20000.0,22250.0,15,Bad,60.08,3,2,4.0,80.0
8a858faf55d95d930155db6ec1274592,Other,Permanent,32,301968236,12,2017-07-07 16:26:20,2017-07-07 15:26:14,10000.0,11125.0,15,Good,60.1,8,3,23.5,214.0
8a858edf594a45ed01594bd668493b10,Savings,Permanent,42,301959902,7,2017-07-02 13:05:57,2017-07-02 12:04:51,30000.0,34500.0,30,Good,61.1,6,0,30.0,500.0
